Time (hour),CO,NO2,Ozone,SO2
2024-09-29 12:00:00,0.864822333,1.424805667,55.79202083,7.3715175
2024-09-29 13:00:00,0.866658833,1.7171535,53.48334117,7.307596333
2024-09-29 14:00:00,0.8848845,2.629022333,55.78204483,7.410413167
2024-09-29 15:00:00,0.877978333,3.962036667,54.1587835,7.554714
2024-09-29 16:00:00,0.860121333,3.867648667,58.09430567,8.269026167
2024-09-29 17:00:00,0.886176333,5.792216167,52.87793083,8.720595833
2024-09-29 18:00:00,0.997476833,15.83454533,23.89972767,8.364743833
2024-09-29 19:00:00,1.090254333,24.04268583,4.400779167,8.756674667
2024-09-29 20:00:00,1.172969333,25.24377933,2.904042333,10.9847525
2024-09-29 21:00:00,1.302275333,22.91751433,2.607770333,11.69477833
2024-09-29 22:00:00,1.311258333,21.57636167,1.936147667,9.874215333
2024-09-29 23:00:00,1.247117167,19.3888035,2.007048167,8.6078415
2024-09-30 00:00:00,1.260963167,16.42769467,1.7780215,8.355351667
2024-09-30 01:00:00,1.424207833,18.78343083,1.848606833,9.766321
2024-09-30 02:00:00,1.456766333,17.80995567,1.871714667,10.0839075
2024-09-30 03:00:00,1.327492833,20.7292515,2.4482395,10.30911933
2024-09-30 04:00:00,1.377895,13.93782033,2.072434,10.448128
2024-09-30 05:00:00,1.227084833,16.13742517,2.155185167,9.956074167
2024-09-30 06:00:00,1.216360667,13.0909,2.316783333,9.953516833
2024-09-30 07:00:00,1.236449,13.67131467,4.133185167,10.01804683
2024-09-30 08:00:00,1.2696975,15.0812675,12.9195955,10.51471067
2024-09-30 09:00:00,1.24634,12.43568533,37.62127783,11.23110333
2024-09-30 10:00:00,1.154267833,6.7607655,61.607635,11.08798217
2024-09-30 11:00:00,1.124399833,4.936280333,75.89153033,10.87235533
2024-09-30 12:00:00,1.0997765,4.868153667,79.0984485,10.77034367
2024-09-30 13:00:00,1.082416167,4.628354667,76.68355433,10.41839833
2024-09-30 14:00:00,1.072983,4.4892345,66.30945083,9.798692667
2024-09-30 15:00:00,1.06846,4.837591333,64.386879,9.518060167
2024-09-30 16:00:00,1.073043,5.835401167,59.42355483,9.963675833
2024-09-30 17:00:00,1.117909,10.34904783,51.40393483,10.51457733
2024-09-30 18:00:00,1.226156333,13.7442185,41.32862483,11.269022
2024-09-30 19:00:00,1.249393,13.84134683,38.97651467,11.365629
2024-09-30 20:00:00,1.352727667,18.23435667,21.99513967,11.21241433
2024-09-30 21:00:00,1.294644833,16.709004,31.08255567,11.39706917
2024-09-30 22:00:00,1.298486,17.75565117,22.317367,11.81327867
2024-09-30 23:00:00,1.256283333,18.00160317,26.970134,13.18588383
2024-10-01 00:00:00,1.1367825,15.72974333,25.24049967,11.52922217
2024-10-01 01:00:00,1.081037167,10.31264533,29.06815417,9.905229667
2024-10-01 02:00:00,1.071538167,5.811162667,29.708409,9.010103833
2024-10-01 03:00:00,1.065883,6.563863667,22.00478933,9.146242167
2024-10-01 04:00:00,1.057474333,7.033442,19.98351317,9.227479667
2024-10-01 05:00:00,1.064315,7.027263667,19.70425583,9.3339765
2024-10-01 06:00:00,1.084660167,8.311375833,16.13605583,9.752660333
2024-10-01 07:00:00,1.125313667,11.606862,18.0265895,10.34747933
2024-10-01 08:00:00,1.145716833,9.193852167,42.71559717,10.74146767
2024-10-01 09:00:00,1.159862333,8.286334667,64.502606,12.08302483
2024-10-01 10:00:00,1.131609667,6.447985167,82.6892255,13.95483517
2024-10-01 11:00:00,1.1102835,5.476478,88.16398483,13.12708117
2024-10-01 12:00:00,0.529786,0.0,13.92838617,2.447839333
2024-10-01 13:00:00,0.3624415,3.729914333,59.999627,5.742485333
2024-10-01 14:00:00,0.538872167,5.7752305,85.2985765,6.296314833
2024-10-01 15:00:00,0.51798,5.145658,82.47879,5.377866
